GO:0070935	3'-UTR-mediated mRNA stabilization
TAO:0009269^OBO_REL:part_of(TAO:0005124)	enterocyte of intestinal epithelium
TAO:0009097	enteroendocrine cell
GO:0035883	enteroendocrine cell differentiation
TAO:0009097^OBO_REL:part_of(TAO:0005124)	enteroendocrine cell of intestinal epithelium
TAO:0000657	entopterygoid
GO:0043153	entrainment of circadian clock by photoperiod
GO:0046718	entry of virus into host cell
TAO:0009033	ependymal cell
TAO:0009033^OBO_REL:part_of(TAO:0000075)	ependymal cell of spinal cord
GO:0055113	epiboly involved in gastrulation with mouth forming second
TAO:0001555	epibranchial ganglion
TAO:0001294	epibranchial placode
TAO:0005057	epicardium
TAO:0009183	epidermal cell
GO:0009913	epidermal cell differentiation
GO:0009957	epidermal cell fate specification
TAO:0009183^OBO_REL:part_of(TAO:0000105)	epidermal cell of epidermis
TAO:0009183^OBO_REL:part_of(TAO:0000040)	epidermal cell of median fin fold
TAO:0000105	epidermis
GO:0008544	epidermis development
GO:0048730	epidermis morphogenesis
TAO:0000105^OBO_REL:part_of(VSAO:0000164)	epidermis of caudal fin
TAO:0000105^OBO_REL:part_of(TAO:0000040)	epidermis of median fin fold
TAO:0000105^OBO_REL:part_of(TAO:0001117)	epidermis of post-vent region
TAO:0000105^OBO_REL:part_of(TAO:0001115)	epidermis of trunk
TAO:0000105^OBO_REL:part_of(TAO:0001069)	epidermis of ventral fin fold
GO:0042414	epinephrine metabolic process
TAO:0000019	epiphysis
TAO:0000509	epithalamus
GO:0021538	epithalamus development
CARO:0000077	epithelial cell
GO:0030855	epithelial cell differentiation
GO:0003382	epithelial cell morphogenesis
CARO:0000077^OBO_REL:part_of(VSAO:0000099)	epithelial cell of fin
CARO:0000077^OBO_REL:part_of(TAO:0000112)	epithelial cell of gut
CARO:0000077^OBO_REL:part_of(TAO:0000217)	epithelial cell of inner ear
CARO:0000077^OBO_REL:part_of(VSAO:0000029)	epithelial cell of integument
CARO:0000077^OBO_REL:part_of(TAO:0005124)	epithelial cell of intestinal epithelium
CARO:0000077^OBO_REL:part_of(TAO:0005169)	epithelial cell of intrahepatic bile duct
CARO:0000077^OBO_REL:part_of(TAO:0001326)	epithelial cell of lens epithelium
CARO:0000077^OBO_REL:part_of(TAO:0000036)	epithelial cell of liver and biliary system
CARO:0000077^OBO_REL:part_of(TAO:0005127)	epithelial cell of mid intestine epithelium
CARO:0000077^OBO_REL:part_of(VSAO:0000032)	epithelial cell of notochord
CARO:0000077^OBO_REL:part_of(TAO:0000051)	epithelial cell of otic vesicle
TAO:0009045	epithelial cell of pancreas
CARO:0000077^OBO_REL:part_of(TAO:0007055)	epithelial cell of pillar of the lateral semicircular canal
CARO:0000077^OBO_REL:part_of(TAO:0005128)	epithelial cell of posterior intestine epithelium
CARO:0000077^OBO_REL:part_of(TAO:0000150)	epithelial cell of pronephric duct
CARO:0000077^OBO_REL:part_of(TAO:0000151)	epithelial cell of pronephros
CARO:0000077^OBO_REL:part_of(TAO:0000155)	epithelial cell of somite
CARO:0000077^OBO_REL:part_of(TAO:0001078)	epithelial cell of thymus
GO:0050673	epithelial cell proliferation
GO:0003351	epithelial cilium movement
GO:0010669	epithelial structure maintenance
GO:0001837	epithelial to mesenchymal transition
CARO:0000066	epithelium
CARO:0000066^OBO_REL:part_of(TAO:0000099)	epithelium of brain vasculature
CARO:0000066^OBO_REL:part_of(TAO:0000029)	epithelium of hindbrain
CARO:0000066^OBO_REL:part_of(TAO:0000040)	epithelium of median fin fold
CARO:0000066^OBO_REL:part_of(TAO:0001135)	epithelium of neural tube
CARO:0000066^OBO_REL:part_of(TAO:0000051)	epithelium of otic vesicle
CARO:0000066^OBO_REL:part_of(VSAO:0000147)	epithelium of pectoral fin
CARO:0000066^OBO_REL:part_of(TAO:0007055)	epithelium of pillar of the lateral semicircular canal
CARO:0000066^OBO_REL:part_of(TAO:0001558)	epithelium of pronephric tubule
CARO:0000066^OBO_REL:part_of(TAO:0000282)	epithelium of sensory system
CARO:0000066^OBO_REL:part_of(TAO:0000155)	epithelium of somite
CARO:0000066^OBO_REL:part_of(TAO:0000076)	epithelium of swim bladder
CARO:0000066^OBO_REL:part_of(TAO:0000161)	epithelium of third ventricle
CARO:0000066^OBO_REL:part_of(TAO:0001069)	epithelium of ventral fin fold
CARO:0000066^OBO_REL:part_of(TAO:0002247)	epithelium of ventricular endocardium
CARO:0000066^OBO_REL:part_of(TAO:0001261)	epithelium of ventricular system
TAO:0000660	epural
GO:0050957	equilibrioception
TAO:0005237	erythroblast
TAO:0005237^OBO_REL:part_of(TAO:0000033)	erythroblast of intermediate cell mass of mesoderm
GO:0048821	erythrocyte development
GO:0030218	erythrocyte differentiation
GO:0043249	erythrocyte maturation
TAO:0009325	erythroid lineage cell
TAO:0009325^OBO_REL:part_of(TAO:0000094)	erythroid lineage cell of blood island
TAO:0009325^OBO_REL:part_of(TAO:0000669)	erythroid lineage cell of head kidney
TAO:0009325^OBO_REL:part_of(TAO:0000033)	erythroid lineage cell of intermediate cell mass of mesoderm
TAO:0009015	erythroid progenitor cell
TAO:0009015^OBO_REL:part_of(TAO:0000121)	erythroid progenitor cell of lateral plate mesoderm
TAO:0001499	esophageal epithelium
TAO:0000204	esophagus
GO:0048560	establishment of anatomical structure orientation
GO:0035089	establishment of apical/basal cell polarity
GO:0030010	establishment of cell polarity
GO:0014045	establishment of endothelial blood-brain barrier
GO:0045198	establishment of epithelial cell apical/basal polarity
GO:0032401	establishment of melanosome localization
GO:0000132	establishment of mitotic spindle orientation
GO:0040023	establishment of nucleus localization
GO:0090002	establishment of protein localization in plasma membrane
GO:0051294	establishment of spindle orientation
GO:0035088	establishment or maintenance of apical/basal cell polarity
GO:0045197	establishment or maintenance of epithelial cell apical/basal polarity
GO:0006067	ethanol metabolic process
TAO:0001405	ethmoid cartilage
GO:0007588	excretion
GO:0010458	exit from mitosis
TAO:0009092	exocrine cell
TAO:0009092^OBO_REL:part_of(TAO:0001249)	exocrine cell of exocrine pancreas
TAO:0001249	exocrine pancreas
GO:0031017	exocrine pancreas development
TAO:0000106	extension
GO:0085029	extracellular matrix assembly
GO:0070278	extracellular matrix constituent secretion
GO:0031012^OBO_REL:part_of(TAO:0000471)	extracellular matrix of atrium
GO:0031012^OBO_REL:part_of(CL:0000058)	extracellular matrix of chondroblast
GO:0031012^OBO_REL:part_of(CL:0000138)	extracellular matrix of chondrocyte
GO:0031012^OBO_REL:part_of(TAO:0001458)	extracellular matrix of cranial cartilage
GO:0031012^OBO_REL:part_of(TAO:0000737)	extracellular matrix of cranium
GO:0031012^OBO_REL:part_of(TAO:0005255)	extracellular matrix of frontal-parietal joint
GO:0031012^OBO_REL:part_of(TAO:0000115)	extracellular matrix of heart rudiment
GO:0031012^OBO_REL:part_of(TAO:0001922)	extracellular matrix of inter-frontal joint
GO:0031012^OBO_REL:part_of(TAO:0005245)	extracellular matrix of inter-parietal joint
GO:0031012^OBO_REL:part_of(TAO:0001227)	extracellular matrix of mandibular arch
GO:0031012^OBO_REL:part_of(TAO:0001056)	extracellular matrix of myotome
GO:0031012^OBO_REL:part_of(VSAO:0000032)	extracellular matrix of notochord
GO:0031012^OBO_REL:part_of(TAO:0000445)	extracellular matrix of optic tectum
GO:0031012^OBO_REL:part_of(TAO:0001460)	extracellular matrix of pharyngeal arch cartilage
GO:0030198	extracellular matrix organization
GO:0044420^OBO_REL:part_of(TAO:0001458)	extracellular matrix part of cranial cartilage
GO:0005615^OBO_REL:part_of(TAO:0000711)	extracellular space of DEL
TAO:0005170	extrahepatic duct
TAO:0000511	extraocular musculature
TAO:0005346	extrapancreatic duct
TAO:0000107	eye
GO:0001654	eye development
GO:0048592	eye morphogenesis
TAO:0009154	eye photoreceptor cell
GO:0042462	eye photoreceptor cell development
GO:0001754	eye photoreceptor cell differentiation
TAO:0009154^OBO_REL:part_of(TAO:0001464)	eye photoreceptor cell of retinal outer nuclear layer
TAO:0009154^OBO_REL:part_of(TAO:0000143)	eye photoreceptor cell of retinal photoreceptor layer
GO:0008057	eye pigment granule organization
GO:0048069	eye pigmentation
GO:0060324	face development
GO:0060325	face morphogenesis
TAO:0001291	facial ganglion
GO:0021561	facial nerve development
TAO:0000206	facial nerve motor nucleus
TAO:0001295	facial placode
TAO:0009117	fast muscle cell
TAO:0009117^OBO_REL:part_of(TAO:0001056)	fast muscle cell of myotome
TAO:0009117^OBO_REL:part_of(TAO:0001117)	fast muscle cell of post-vent region
TAO:0009117^OBO_REL:part_of(TAO:0000155)	fast muscle cell of somite
TAO:0009117^OBO_REL:part_of(TAO:0000473)	fast muscle cell of trunk musculature
TAO:0009369	fast muscle myoblast
GO:0031443	fast-twitch skeletal muscle fiber contraction
TAO:0009082	fat cell
GO:0045444	fat cell differentiation
GO:0007631	feeding behavior
TAO:0000303	female
GO:0008585	female gonad development
GO:0001939^OBO_REL:part_of(TAO:0000093)	female pronucleus of blastomere
GO:0030237	female sex determination
GO:0043205^OBO_REL:part_of(TAO:0001516)	fibril of ceratobranchial cartilage
GO:0043205^OBO_REL:part_of(TAO:0002189)	fibril of corneal stroma
GO:0043206	fibril organization
GO:0005583^OBO_REL:part_of(CL:0000138)	fibrillar collagen of chondrocyte
GO:0005583^OBO_REL:part_of(TAO:0001458)	fibrillar collagen of cranial cartilage
GO:0005583^OBO_REL:part_of(TAO:0001119)	fibrillar collagen of dermis
GO:0005583^OBO_REL:part_of(VSAO:0000099)	fibrillar collagen of fin
GO:0005583^OBO_REL:part_of(VSAO:0000183)	fibrillar collagen of vertebral centrum
TAO:0009026^OBO_REL:part_of(TAO:0002289)	fibroblast of sclera
GO:0031941^OBO_REL:part_of(TAO:0000309)	filamentous actin of E-YSL
GO:0031941^OBO_REL:part_of(TAO:0000088)	filamentous actin of YSL
GO:0031941^OBO_REL:part_of(TAO:0009035)	filamentous actin of ciliated epithelial cell
GO:0031941^OBO_REL:part_of(TAO:0000018)	filamentous actin of epiblast
GO:0031941^OBO_REL:part_of(TAO:0009117)	filamentous actin of fast muscle cell
GO:0031941^OBO_REL:part_of(TAO:0000114)	filamentous actin of heart
GO:0031941^OBO_REL:part_of(TAO:0000038)	filamentous actin of margin
GO:0031941^OBO_REL:part_of(TAO:0009306)	filamentous actin of neuroepithelial cell
GO:0031941^OBO_REL:part_of(TAO:0009115)	filamentous actin of skeletal muscle cell
GO:0031941^OBO_REL:part_of(TAO:0009116)	filamentous actin of slow muscle cell
GO:0031941^OBO_REL:part_of(TAO:0005061)	filamentous actin of ventricular myocardium
GO:0046847	filopodium assembly
GO:0030175^OBO_REL:part_of(TAO:0000004)	filopodium of anterior axial hypoblast
GO:0030175^OBO_REL:part_of(CARO:0000013)	filopodium of cell
GO:0030175^OBO_REL:part_of(TAO:0009073)	filopodium of glial cell
GO:0030175^OBO_REL:part_of(ZFA:0005559)	filopodium of vascular sprouts
VSAO:0000099	fin
VSAO:0000179	fin bud
GO:0033333	fin development
TAO:0005316	fin fold pectoral fin bud
GO:0033334	fin morphogenesis
TAO:0000207	fin musculature
GO:0031101	fin regeneration
TAO:0005095	fin vasculature
TAO:0005095^OBO_REL:part_of(TAO:0001269)	fin vasculature of regenerating fin
TAO:0000022	floor plate
GO:0021508	floor plate formation
TAO:0001258	floor plate hindbrain
TAO:0001434	floor plate neural tube
TAO:0000890	floor plate spinal cord
GO:0042044	fluid transport
TAO:0000109	forebrain
GO:0021797	forebrain anterior/posterior pattern specification
GO:0021885	forebrain cell migration
GO:0030900	forebrain development
GO:0021798	forebrain dorsal/ventral pattern formation
TAO:0001367	forebrain midbrain boundary
GO:0048853	forebrain morphogenesis
TAO:0007026	forebrain neural keel
GO:0021884	forebrain neuron development
GO:0021879	forebrain neuron differentiation
GO:0021871	forebrain regionalization
TAO:0001259	forebrain ventricle
GO:0007440	foregut morphogenesis
TAO:0000023	forerunner cell group
TAO:0000023^OBO_REL:part_of(TAO:0001094)	forerunner cell group of body
GO:0048859	formation of anatomical boundary
GO:0001704	formation of primary germ layer
TAO:0000110	fourth ventricle
GO:0021592	fourth ventricle development
TAO:0000110^OBO_REL:part_of(TAO:0000029)	fourth ventricle of hindbrain
TAO:0000110^OBO_REL:part_of(TAO:0000128)	fourth ventricle of midbrain
TAO:0000514	frontal bone
TAO:0005255	frontal-parietal joint
GO:0042353	fucose biosynthetic process
TAO:0000208	gall bladder
GO:0000930^OBO_REL:part_of(CARO:0000013)	gamma-tubulin complex of cell
GO:0055077	gap junction hemi-channel activity
GO:0005921^OBO_REL:part_of(TAO:0009315)	gap junction of horizontal cell
GO:0007369	gastrulation
GO:0001702	gastrulation with mouth forming second
GO:0048699	generation of neurons
GO:0007281	germ cell development
GO:0008354	germ cell migration
TAO:0009016	germ line cell
TAO:0009016^OBO_REL:part_of(TAO:0000598)	germ line cell of testis
GO:0060293^OBO_REL:part_of(TAO:0000093)	germ plasm of blastomere
TAO:0000111	germ ring
TAO:0000354	gill
TAO:0001597	gill arch
TAO:0001598	gill arch 1
TAO:0001228	gill arch 1 skeleton
TAO:0000095	gill arch 1-5 skeleton
TAO:0001599	gill arch 2
TAO:0001231	gill arch 2 skeleton
TAO:0001600	gill arch 3
TAO:0001232	gill arch 3 skeleton
TAO:0001601	gill arch 4
TAO:0001230	gill arch 4 skeleton
TAO:0001229	gill arch 5 skeleton
TAO:0000356	gill raker
GO:0002068	glandular epithelial cell development
TAO:0009073	glial cell
TAO:0009147	glial cell (sensu Vertebrata)
GO:0008347	glial cell migration
TAO:0009073^OBO_REL:part_of(TAO:0000101)	glial cell of diencephalon
TAO:0009073^OBO_REL:part_of(TAO:0001155)	glial cell of enteric nervous system
TAO:0009073^OBO_REL:part_of(TAO:0000029)	glial cell of hindbrain
TAO:0009073^OBO_REL:part_of(TAO:0001469)	glial cell of lateral line
TAO:0009073^OBO_REL:part_of(TAO:0000944)	glial cell of posterior lateral line
TAO:0009073^OBO_REL:part_of(TAO:0001314)	glial cell of posterior lateral line ganglion
TAO:0009073^OBO_REL:part_of(TAO:0000075)	glial cell of spinal cord
TAO:0009073^OBO_REL:part_of(TAO:0000295)	glial cell of trigeminal ganglion
GO:0014009	glial cell proliferation
TAO:0009169	glioblast (sensu Vertebrata)
GO:0042063	gliogenesis
TAO:0005285	glomerular basement membrane
TAO:0005284^OBO_REL:part_of(TAO:0000151)	glomerular capillary of pronephros
GO:0003094	glomerular filtration
TAO:0000357	glomerular layer
TAO:0001301	glossopharyngeal ganglion
TAO:0001296	glossopharyngeal placode
TAO:0009103	glucagon secreting cell
TAO:0009103^OBO_REL:part_of(TAO:0001260)	glucagon secreting cell of endocrine pancreas
GO:0042593	glucose homeostasis
GO:0046323	glucose import
TAO:0009290	glutamatergic neuron
GO:0072579	glycine receptor clustering
GO:0016935^OBO_REL:part_of(TAO:0000075)	glycine-gated chloride channel complex of spinal cord
GO:0005980	glycogen catabolic process
GO:0042587^OBO_REL:part_of(TAO:0009111)	glycogen granule of hepatocyte
GO:0006096	glycolysis
GO:0030203	glycosaminoglycan metabolic process
GO:0070085	glycosylation
TAO:0009094	goblet cell
TAO:0009094^OBO_REL:part_of(TAO:0001076)	goblet cell of intestinal bulb
TAO:0009094^OBO_REL:part_of(TAO:0005126)	goblet cell of intestinal bulb epithelium
TAO:0009094^OBO_REL:part_of(TAO:0005124)	goblet cell of intestinal epithelium
TAO:0009094^OBO_REL:part_of(TAO:0001338)	goblet cell of intestine
TAO:0009094^OBO_REL:part_of(TAO:0001323)	goblet cell of mid intestine
TAO:0009094^OBO_REL:part_of(TAO:0005127)	goblet cell of mid intestine epithelium
TAO:0009094^OBO_REL:part_of(TAO:0000056)	goblet cell of pharynx
TAO:0009094^OBO_REL:part_of(TAO:0000706)	goblet cell of posterior intestine
TAO:0009094^OBO_REL:part_of(TAO:0005128)	goblet cell of posterior intestine epithelium
TAO:0000413	gonad
GO:0008406	gonad development
TAO:0000358	granular layer corpus cerebelli
TAO:0000766	granular layer valvula cerebelli
TAO:0009070^OBO_REL:part_of(TAO:0000100)	granule cell of cerebellum
TAO:0009048	granulocyte
GO:0002432	granuloma formation
TAO:0009223	green sensitive photoreceptor cell
TAO:0002197^OBO_REL:part_of(TAO:0000445)	grey matter of optic tectum
TAO:0002197^OBO_REL:part_of(TAO:0000075)	grey matter of spinal cord
GO:0040007	growth
GO:0030426^OBO_REL:part_of(TAO:0009243)	growth cone of CAP motoneuron
GO:0003419	growth plate cartilage chondrocyte proliferation
TAO:0000112	gut
TAO:0009078	gut endothelial cell
TAO:0009078^OBO_REL:part_of(TAO:0005124)	gut endothelial cell of intestinal epithelium
TAO:0005123	gut epithelium
TAO:0000213	habenula
GO:0021986	habenula development
TAO:0000359	habenular commissure
GO:0046959	habituation
TAO:0009366	hair cell
TAO:0000678	hair cell anterior macula
TAO:0009366^OBO_REL:part_of(TAO:0000619)	hair cell of anterior crista
TAO:0009366^OBO_REL:part_of(TAO:0000168)	hair cell of anterior macula
TAO:0009366^OBO_REL:part_of(TAO:0000217)	hair cell of inner ear
TAO:0009366^OBO_REL:part_of(TAO:0000166)	hair cell of lateral crista
TAO:0009366^OBO_REL:part_of(TAO:0000386)	hair cell of macula
TAO:0009366^OBO_REL:part_of(TAO:0007000)	hair cell of macula saccule
TAO:0009366^OBO_REL:part_of(TAO:0000030)	hair cell of macula utricle
TAO:0009366^OBO_REL:part_of(TAO:0000051)	hair cell of otic vesicle
TAO:0009366^OBO_REL:part_of(TAO:0000566)	hair cell of posterior crista
TAO:0009366^OBO_REL:part_of(TAO:0000431)	hair cell of semicircular canal
TAO:0000281	hair cell posterior macula
GO:0035188	hatching
TAO:0000026	hatching gland
TAO:0009151	hatching gland cell
GO:0048785	hatching gland development
TAO:0001114	head
GO:0060322	head development
TAO:0000669	head kidney
TAO:0000113	head mesenchyme
GO:0060323	head morphogenesis
TAO:0002198	head muscle
TAO:0000114	heart
GO:0060047	heart contraction
GO:0007507	heart development
GO:0003128	heart field specification
GO:0060914	heart formation
GO:0003146	heart jogging
GO:0001947	heart looping
GO:0003007	heart morphogenesis
TAO:0000028	heart primordium
TAO:0000115	heart rudiment
GO:0060347	heart trabecula formation
TAO:0000360	heart tube
TAO:0005065	heart valve
GO:0003179	heart valve morphogenesis
TAO:0000519	hemal arch
TAO:0001364	hemal spine
TAO:0001364^OBO_REL:part_of(TAO:0000326)	hemal spine of caudal vertebra
GO:0060217	hemangioblast cell differentiation
